Num,QueryGeneID,QueryLength,SpeciesWithGeneFunction,BS_of_orthogroupBasalNode,2ndGeneTree,BHnum_Drosophila-melanogaster,BHnum_Ciona-intestinalis,BHnum_Xenopus-tropicalis,BHnum_Gallus-gallus,BHnum_Homo-sapiens,BHnum_Danio-rerio,BHnum_Tetraodon-nigroviridis,BHnum_Gasterosteus-aculeatus,BHnum_Oryzias-latipes,OGnum_Xenopus-tropicalis,OGnum_Gallus-gallus,OGnum_Homo-sapiens,OGnum_Danio-rerio,OGnum_Oryzias-latipes,OGnum_Tetraodon-nigroviridis,OGnum_Gasterosteus-aculeatus,BS_of_BonyVertebrates_monophyly,dupStatus_BonyVertebrates,BS_of_Teleostei_monophyly,dupStatus_Teleostei,BS_of_Percomorpha_monophyly,dupStatus_Percomorpha,BS_of_Oryzias-latipes_monophyly,dupStatus_Oryzias-latipes,Sister_of_BonyVertebrates,BS_with_BonyVertebrates,Sister_of_Teleostei,BS_with_Teleostei,Sister_of_Percomorpha,BS_with_Percomorpha,Sister_of_Oryzias-latipes,BS_with_Oryzias-latipes
36,ENSORLT00000021895.1,2847,Homo-sapiens_ENST00000444676.5_OGDH-oxoglutarate-dehyd ,93,DONE,4,4,3,3,3,4,4,4,4,1,1,1,2,1,1,1,100,D=N,r,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,100
37,ENSORLT00000017939.2,5829,Homo-sapiens_ENST00000399634.5_CACNA1C-calcium-voltage Homo-sapiens_ENST00000643528.1_CACNA1C-calcium-voltage ,100,DONE,9,10,10,10,10,10,10,10,10,1,1,2,1,1,1,1,100,D=N,79,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,71,Gasterosteus-aculeatus,100
38,ENSORLT00000003185.1,2151,Homo-sapiens_ENST00000379565.9_RPS6KA3-ribosomal-prote ,91,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,0,1,100,D=N,91,D=N,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,91,Gasterosteus-aculeatus,99
39,ENSORLT00000023647.1,1110,Homo-sapiens_ENST00000299518.7_IDH3A-isocitrate-dehydr ,100,DONE,6,4,4,3,4,4,5,7,6,1,1,1,1,1,1,1,100,D=N,83,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,83,Eupercaria,r
40,ENSORLT00000007129.1,1074,Homo-sapiens_ENST00000286548.9_GNAQ-G-protein-subunit- ,94,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,93,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,93,Eupercaria,r
41,ENSORLT00000004272.1,495,Homo-sapiens_ENST00000580825.5_PPP1R1B-protein-phospha ,99,DONE,0,0,3,3,3,2,2,2,1,1,0,1,1,1,1,1,100,D=Y,98,D=Y,73,D=N,leaf,leaf,Homo-sapiens,100,Xenopus-tropicalis,86,Danio-rerio,95,Tetraodon-nigroviridis,73
42,ENSORLT00000007227.1,1014,Homo-sapiens_ENST00000315758.10_MDH2-malate-dehydrogen ,100,DONE,3,2,1,2,3,3,3,3,3,1,1,1,1,1,1,1,100,D=N,100,D=N,93,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,93
43,ENSORLT00000007755.1,2031,Homo-sapiens_ENST00000264932.11_SDHA-succinate-dehydro Homo-sapiens_ENST00000651543.1_AC021087.5-novel-protei ,72,DONE,2,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,100,D=N,94,D=N,97,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,94,Eupercaria,97
44,ENSORLT00000021208.1,1500,Homo-sapiens_ENST00000366560.4_FH-fumarate-hydratase ,89,DONE,5,1,2,4,1,3,1,2,1,1,1,1,2,1,0,1,100,D=N,95,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,95,Gasterosteus-aculeatus,100
45,ENSORLT00000024666.1,1149,Homo-sapiens_ENST00000345146.7_IDH1-isocitrate-dehydro ,89,DONE,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,100,D=N,96,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,96,Gasterosteus-aculeatus,96
46,ENSORLT00000012526.1,2151,Homo-sapiens_ENST00000510118.5_RPS6KA2-ribosomal-prote ,79,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
47,ENSORLT00000000566.1,1194,Homo-sapiens_ENST00000417551.5_DLD-dihydrolipoamide-de ,100,DONE,4,4,8,6,6,8,6,7,6,1,1,1,1,1,1,1,100,D=N,100,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,r
48,ENSORLT00000003333.1,519,Homo-sapiens_ENST00000367975.7_SDHC-succinate-dehydrog ,100,DONE,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,D=N,97,D=N,91,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,97,Tetraodon-nigroviridis,99
49,ENSORLT00000019362.1,1410,,70,DONE,2,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,100,D=N,100,D=N,91,D=N,leaf,leaf,NoGeneNode,NONE,Xenopus-tropicalis,100,Danio-rerio,100,Eupercaria,91
50,ENSORLT00000007894.1,1941,,85,DONE,2,1,2,2,3,2,2,2,2,0,1,0,1,1,1,1,100,D=N,100,D=N,93,D=Y,leaf,leaf,NoGeneNode,NONE,Gallus-gallus,100,Danio-rerio,100,Gasterosteus-aculeatus,93
51,ENSORLT00000020424.2,3087,Homo-sapiens_ENST00000450142.7_PPP1R12A-protein-phosph ,98,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,93
52,ENSORLT00000008702.1,1185,Homo-sapiens_ENST00000307102.10_MAP2K1-mitogen-activat ,79,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,91,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,91
53,ENSORLT00000025579.1,1077,Homo-sapiens_ENST00000262848.6_PRKX-protein-kinase-X-l Homo-sapiens_ENST00000533551.5_PRKY-protein-kinase-Y-l ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,2,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
54,ENSORLT00000001371.2,3276,Homo-sapiens_ENST00000533060.5_TRPM5-transient-recepto ,99,DONE,5,10,10,10,10,10,10,10,10,0,1,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Amniota,100,Danio-rerio,100,Eupercaria,100
55,ENSORLT00000001400.1,1800,Homo-sapiens_ENST00000324198.11_GRK3-G-protein-coupled ,100,DONE,10,10,10,10,10,10,10,10,10,0,1,1,1,1,1,0,100,D=Y,100,D=N,93,D=N,leaf,leaf,Homo-sapiens,100,Gallus-gallus,82,Danio-rerio,100,Tetraodon-nigroviridis,93
56,ENSORLT00000010035.1,1152,Homo-sapiens_ENST00000493112.5_SUCLG2-succinate-CoA-li ,100,DONE,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,100,D=N,100,D=N,85,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,85
57,ENSORLT00000010583.1,1170,Homo-sapiens_ENST00000474315.5_IDH3B-isocitrate-dehydr ,100,DONE,6,3,3,2,3,3,3,5,4,1,1,1,1,1,1,1,100,D=N,100,D=N,81,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,81
58,ENSORLT00000010673.1,2109,Homo-sapiens_ENST00000262752.5_RPS6KA6-ribosomal-prote ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
59,ENSORLT00000012351.1,2304,Homo-sapiens_ENST00000644969.2_BRAF-B-Raf-proto-oncoge ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,88,D=Y,NoGeneNode,NONE,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,NoGeneNode,NONE,Teleostei(Eupercaria;Danio-rerio),88
60,ENSORLT00000012923.1,1725,Homo-sapiens_ENST00000379936.3_CNGA4-cyclic-nucleotide ,100,DONE,10,10,10,10,10,10,10,10,10,1,0,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
61,ENSORLT00000013987.1,1020,Homo-sapiens_ENST00000376355.7_CLYBL-citramalyl-CoA-ly ,100,DONE,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,100
62,ENSORLT00000014247.1,7233,Homo-sapiens_ENST00000381340.8_ITPR2-inositol-1-4-5-tr ,100,DONE,2,3,5,4,6,9,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
63,ENSORLT00000016034.1,1872,Homo-sapiens_ENST00000319441.6_PCK1-phosphoenolpyruvat ,97,DONE,2,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
64,ENSORLT00000016752.1,594,Homo-sapiens_ENST00000230361.4_GUCA1B-guanylate-cyclas ,97,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=Y,100,D=N,r,D=Y,leaf,leaf,Homo-sapiens,100,Tetrapoda,72,Danio-rerio,100,Gasterosteus-aculeatus,87
65,ENSORLT00000018055.1,2199,Homo-sapiens_ENST00000531382.5_RPS6KA1-ribosomal-prote Homo-sapiens_ENST00000628256.2_RPS6KA1-ribosomal-prote ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,2,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
66,ENSORLT00000019635.1,2670,Homo-sapiens_ENST00000449771.7_RAPGEF3-Rap-guanine-nuc ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,100,D=N,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,99
67,ENSORLT00000022925.1,7818,Homo-sapiens_ENST00000374316.9_ITPR3-inositol-1-4-5-tr ,94,DONE,2,3,5,4,6,9,10,10,10,0,0,1,1,1,1,1,100,D=N,100,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Homo-sapiens,100,Danio-rerio,100,Eupercaria,100
68,ENSORLT00000025590.1,2739,Homo-sapiens_ENST00000379923.5_ACO1-aconitase-1 ,100,DONE,4,3,3,3,3,3,3,4,3,1,1,1,1,1,1,1,100,D=N,85,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,85,Gasterosteus-aculeatus,86
69,ENSORLT00000016109.1,1542,Homo-sapiens_ENST00000672396.1_CAMK2A-calcium-calmodul ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,92,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,92,Eupercaria,100
70,ENSORLT00000019964.1,972,Homo-sapiens_ENST00000340766.9_PPP1CC-protein-phosphat ,97,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,74,D=N,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,74,Eupercaria,100
71,ENSORLT00000011998.1,588,Homo-sapiens_ENST00000334660.10_CHP1-calcineurin-like- ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,100,D=N,r,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
72,ENSORLT00000020602.1,2904,Homo-sapiens_ENST00000371546.8_GRIN1-glutamate-ionotro ,70,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,1,1,100,D=Y,92,D=N,100,D=N,leaf,leaf,Oryzias-latipes,100,Tetrapoda,91,Danio-rerio,92,Tetraodon-nigroviridis,100
73,ENSORLT00000011525.1,3910,Homo-sapiens_ENST00000396573.6_GRIN2A-glutamate-ionotr ,100,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,2,2,1,100,D=N,95,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,100
74,ENSORLT00000005681.1,3642,Homo-sapiens_ENST00000305447.4_GRM5-glutamate-metabotr ,100,DONE,9,6,10,10,10,10,10,10,10,1,1,1,2,2,1,2,100,D=N,80,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,100
75,ENSORLT00000013640.1,3690,Homo-sapiens_ENST00000305447.4_GRM5-glutamate-metabotr ,100,DONE,10,6,10,10,10,10,10,10,10,1,1,1,2,2,1,2,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,100
76,ENSORLT00000007953.1,2055,Homo-sapiens_ENST00000373980.11_PRKG1-protein-kinase-c ,96,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,1,1,100,D=N,r,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,96,Eupercaria,100
77,ENSORLT00000005225.1,1680,Homo-sapiens_ENST00000423381.5_CAMK2G-calcium-calmodul ,93,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,95,D=Y,100,D=Y,leaf,leaf,Tetraodon-nigroviridis,100,Tetrapoda,99,Danio-rerio,85,Gasterosteus-aculeatus,86
